# Effective area for Roman (m^2) - parameters as of 2021 06 14,,,,,,,,,,,
Wave,F062,F087,F106,F129,F158,F184,F146,F213,SNPrism,Grism_1stOrder,Grism_0thOrder
0.702,2.3146,0,0,0,0,0,0,0,0,0,0
0.703,2.314,0,0,0,0,0,0,0,0,0,0
0.704,2.3133,0,0,0,0,0,0,0,0,0,0
0.705,2.3121,0,0,0,0,0,0,0,0,0,0
0.706,2.3106,0,0,0,0,0,0,0,0,0,0
0.707,2.309,0,0,0,0,0,0,0,0,0,0
0.708,2.3077,0,0,0,0,0,0,0,0,0,0
0.709,2.3069,0,0,0,0,0,0,0,0,0,0
0.71,2.306,0,0,0,0,0,0,0,0,0,0
0.711,2.3045,0,0,0,0,0,0,0,0,0,0
0.712,2.303,0,0,0,0,0,0,0,0,0,0
0.713,2.3022,0,0,0,0,0,0,0,0,0,0
0.714,2.3013,0,0,0,0,0,0,0,0,0,0
0.715,2.2999,0,0,0,0,0,0,0,0,0,0
0.716,2.2986,0,0,0,0,0,0,0,0,0,0
0.717,2.2979,0,0,0,0,0,0,0,0,0,0
0.718,2.2973,0,0,0,0,0,0,0,0,0,0
0.719,2.2961,0,0,0,0,0,0,0,0,0,0
0.72,2.295,0,0,0,0,0,0,0,0,0,0
0.721,2.2946,0,0,0,0,0,0,0,0,0,0
0.722,2.2943,0,0,0,0,0,0,0,0,0,0
0.723,2.2935,0,0,0,0,0,0,0,0,0,0
0.724,2.2928,0.0001,0,0,0,0,0,0,0,0,0
0.725,2.2927,0.0001,0,0,0,0,0,0,0,0,0
0.726,2.2925,0.0002,0,0,0,0,0,0,0,0,0
0.727,2.2922,0.0002,0,0,0,0,0,0,0,0,0
0.728,2.2919,0.0004,0,0,0,0,0,0,0,0,0
0.729,2.2917,0.0006,0,0,0,0,0,0,0,0,0
0.73,2.2912,0.0009,0,0,0,0,0,0,0,0,0
0.731,2.2903,0.0013,0,0,0,0,0,0,0,0,0
0.732,2.2893,0.0019,0,0,0,0,0,0,0,0,0
0.733,2.2887,0.0028,0,0,0,0,0,0,0,0,0
0.734,2.2878,0.004,0,0,0,0,0,0,0,0,0
0.735,2.2861,0.0057,0,0,0,0,0,0,0,0,0
0.736,2.2838,0.008,0,0,0,0,0,0,0,0,0
0.737,2.2814,0.0112,0,0,0,0,0,0,0,0,0
0.738,2.2782,0.0154,0,0,0,0,0,0,0,0,0
0.739,2.2732,0.0209,0,0,0,0,0,0,0.0002,0,0
0.74,2.2666,0.0282,0,0,0,0,0,0,0.0007,0,0
0.741,2.2586,0.0376,0,0,0,0,0,0,0.0023,0,0
0.742,2.2485,0.0495,0,0,0,0,0,0,0.007,0,0
0.743,2.2356,0.0645,0,0,0,0,0,0,0.0187,0,0
0.744,2.2189,0.083,0,0,0,0,0,0,0.0451,0,0
0.745,2.1979,0.1058,0,0,0,0,0,0,0.0979,0,0
0.746,2.1724,0.1333,0,0,0,0,0,0,0.1921,0,0
0.747,2.1422,0.1662,0,0,0,0,0,0,0.3419,0,0
0.748,2.1064,0.2051,0,0,0,0,0,0,0.5544,0,0
0.749,2.0639,0.2503,0,0,0,0,0,0,0.8225,0,0
0.75,2.0147,0.3024,0,0,0,0,0,0,1.1241,0,0
0.751,1.9598,0.3619,0,0,0,0,0,0,1.4275,0,0
0.752,1.898,0.4288,0,0,0,0,0,0,1.6995,0,0
0.753,1.8292,0.5031,0,0,0,0,0,0,1.9174,0,0
0.754,1.7533,0.5846,0,0,0,0,0,0,2.0735,0,0
0.755,1.6705,0.6726,0,0,0,0,0,0,2.1738,0,0
0.756,1.5818,0.7669,0,0,0,0,0,0,2.2328,0,0
0.757,1.4884,0.8666,0,0,0,0,0,0,2.2657,0,0
0.758,1.3908,0.9708,0,0,0,0,0,0,2.284,0,0
0.759,1.2897,1.0778,0,0,0,0,0,0,2.2946,0,0
0.76,1.1868,1.1868,0,0,0,0,0,0,2.3023,0,0
0.761,1.0837,1.2968,0,0,0,0,0,0,2.3094,0,0
0.762,0.9814,1.406,0,0,0,0,0,0,2.3163,0,0
0.763,0.8809,1.5128,0,0,0,0,0,0,2.3224,0,0
0.764,0.7836,1.6163,0,0,0,0,0,0,2.3285,0,0
0.765,0.6909,1.7157,0,0,0,0,0,0,2.3349,0,0
0.766,0.6035,1.81,0,0,0,0,0,0,2.3416,0,0
0.767,0.5221,1.8982,0,0,0,0,0,0,2.3482,0,0
0.768,0.4472,1.9794,0,0,0,0,0,0,2.3543,0,0
0.769,0.3791,2.0531,0,0,0,0,0,0,2.3598,0,0
0.77,0.3182,2.1195,0,0,0,0,0,0,2.3651,0,0
0.771,0.2643,2.1792,0,0,0,0,0,0,2.3708,0,0
0.772,0.2173,2.2319,0,0,0,0,0,0,2.3762,0,0
0.773,0.1767,2.2771,0,0,0,0,0,0,2.3807,0,0
0.774,0.1421,2.316,0,0,0,0,0,0,2.3849,0,0
0.775,0.1131,2.3496,0,0,0,0,0,0,2.3894,0,0
0.776,0.0889,2.3768,0,0,0,0,0,0,2.3923,0,0
0.777,0.0692,2.3986,0,0,0,0,0,0,2.3943,0,0
0.778,0.0532,2.4163,0,0,0,0,0,0,2.3959,0,0
0.779,0.0404,2.4311,0,0,0,0,0,0,2.3979,0,0
0.78,0.0304,2.443,0,0,0,0,0,0,2.3997,0,0
0.781,0.0226,2.4518,0,0,0,0,0,0,2.4007,0,0
0.782,0.0166,2.4585,0,0,0,0,0,0,2.4014,0,0
0.783,0.0121,2.464,0,0,0,0,0,0,2.4023,0,0
0.784,0.0087,2.4686,0,0,0,0,0,0,2.4035,0,0
0.785,0.0061,2.4721,0,0,0,0,0,0,2.4045,0,0
