#         WAVE          FLUX
#------------- -------------
     3612.900      20.41652
     3613.000      20.35546
     3613.100      20.34250
     3613.200      20.35794
     3613.300      20.35807
     3613.400      20.40262
     3613.500      20.45986
     3613.600      20.46390
     3613.700      20.43674
     3613.800      20.35198
     3613.900      20.31382
     3614.000      20.36846
     3614.100      20.44350
     3614.200      20.54864
     3614.300      20.51848
     3614.400      20.36983
     3614.500      20.22997
     3614.600      20.03433
     3614.700      19.88580
     3614.800      19.88791
     3614.900      19.95365
     3615.000      20.01972
     3615.100      20.11620
     3615.200      20.16836
     3615.300      20.13700
     3615.400      20.10686
     3615.500      20.08048
     3615.600      20.02412
     3615.700      19.97428
     3615.800      20.01160
     3615.900      20.10982
     3616.000      20.15149
     3616.100      20.22093
     3616.200      20.46918
     3616.300      20.91442
     3616.400      21.12356
     3616.500      20.96440
     3616.600      21.04615
     3616.700      20.99169
     3616.800      20.63103
     3616.900      20.72188
     3617.000      21.40052
     3617.100      21.65676
     3617.200      21.05951
     3617.300      20.57045
     3617.400      20.66470
     3617.500      21.04904
     3617.600      21.34178
     3617.700      21.14293
     3617.800      20.59107
     3617.900      20.39402
     3618.000      20.69076
     3618.100      21.00450
     3618.200      21.04305
     3618.300      21.21289
     3618.400      21.29154
     3618.500      20.77378
     3618.600      20.26993
     3618.700      20.28537
     3618.800      20.70802
     3618.900      20.95116
     3619.000      20.63991
     3619.100      20.45765
     3619.200      20.85110
     3619.300      21.10654
     3619.400      20.66219
     3619.500      20.17913
     3619.600      20.10198
     3619.700      20.37743
     3619.800      20.72537
     3619.900      20.59302
     3620.000      20.18836
     3620.100      20.11561
     3620.200      20.43485
     3620.300      20.84310
     3620.400      20.72715
     3620.500      20.23299
     3620.600      20.03945
     3620.700      20.14688
     3620.800      20.50213
     3620.900      20.99538
     3621.000      20.98782
     3621.100      20.49787
     3621.200      20.04679
     3621.300      19.92733
     3621.400      20.26822
     3621.500      20.86736
     3621.600      21.06051
     3621.700      20.70936
     3621.800      20.37420
     3621.900      20.17915
     3622.000      20.23560
     3622.100      20.78264
     3622.200      21.22480
     3622.300      20.88434
     3622.400      20.35649
     3622.500      20.09234
     3622.600      20.01003
     3622.700      20.09234
     3622.800      20.47568
     3622.900      20.93033
     3623.000      20.84788
     3623.100      20.46753
     3623.200      20.35368
     3623.300      20.41133
     3623.400      20.54087
     3623.500      20.96823
     3623.600      21.49277
     3623.700      21.42302
     3623.800      20.97937
     3623.900      20.59002
     3624.000      20.36427
     3624.100      20.35942
     3624.200      20.41587
     3624.300      20.52532
     3624.400      20.82867
     3624.500      21.00972
     3624.600      20.83687
     3624.700      20.59772
     3624.800      20.43767
     3624.900      20.35352
     3625.000      20.47157
     3625.100      20.98502
     3625.200      21.41907
     3625.300      21.17172
     3625.400      20.79997
     3625.500      20.57812
     3625.600      20.30637
     3625.700      20.12542
     3625.800      20.17847
     3625.900      20.29233
