#         WAVE          FLUX
#------------- -------------
     3539.300      4.013183
     3539.400      3.860042
     3539.500      3.773401
     3539.600      3.696659
     3539.700      3.673719
     3539.800      3.834478
     3539.900      4.138237
     3540.000      4.262996
     3540.100      4.144555
     3540.200      4.005014
     3540.300      4.045873
     3540.400      4.163133
     3540.500      4.088592
     3540.600      4.152350
     3540.700      4.550810
     3540.800      4.893669
     3540.900      4.913928
     3541.000      4.665187
     3541.100      4.330247
     3541.200      4.230206
     3541.300      4.434765
     3541.400      4.651825
     3541.500      4.549784
     3541.600      4.411643
     3541.700      4.637803
     3541.800      4.975362
     3541.900      5.061622
     3542.000      4.628780
     3542.100      4.098940
     3542.200      3.932799
     3542.300      4.028459
     3542.400      4.292418
     3542.500      4.506778
     3542.600      4.587236
     3542.700      4.674196
     3542.800      4.839355
     3542.900      5.464615
     3543.000      6.614575
     3543.100      7.229334
     3543.200      6.738794
     3543.300      6.287453
     3543.400      6.641413
     3543.500      6.643373
     3543.600      6.142531
     3543.700      5.837992
     3543.800      5.807151
     3543.900      5.686010
     3544.000      5.247270
     3544.100      5.130129
     3544.200      5.090989
     3544.300      5.041449
     3544.400      5.415809
     3544.500      5.511068
     3544.600      5.236128
     3544.700      5.341788
     3544.800      5.885447
     3544.900      6.532607
     3545.000      6.762466
     3545.100      6.770326
     3545.200      6.672386
     3545.300      5.894146
     3545.400      5.066106
     3545.500      5.081765
     3545.600      5.505725
     3545.700      5.209085
     3545.800      4.601344
     3545.900      4.346604
     3546.000      4.458664
     3546.100      4.852124
     3546.200      4.722984
     3546.300      4.127543
     3546.400      4.153504
     3546.500      4.766664
     3546.600      5.119623
     3546.700      4.959483
     3546.800      4.595943
     3546.900      4.569603
     3547.000      5.094263
     3547.100      5.767323
     3547.200      6.079383
     3547.300      5.411243
     3547.400      4.450803
     3547.500      4.472663
     3547.600      5.609922
     3547.700      6.486683
     3547.800      5.919743
     3547.900      5.051603
     3548.000      4.716063
     3548.100      4.701023
     3548.200      4.868783
     3548.300      5.009644
     3548.400      5.205004
     3548.500      5.189564
     3548.600      4.708124
     3548.700      4.382884
     3548.800      4.844644
     3548.900      5.799204
     3549.000      5.896164
     3549.100      5.187725
     3549.200      4.881784
     3549.300      4.885745
     3549.400      4.955105
     3549.500      4.957565
     3549.600      5.002026
     3549.700      5.319586
     3549.800      5.458246
     3549.900      5.114606
     3550.000      4.504167
     3550.100      4.194527
     3550.200      4.435887
     3550.300      5.121247
     3550.400      5.496708
     3550.500      5.041469
     3550.600      4.609129
     3550.700      4.697889
     3550.800      4.826950
     3550.900      4.781810
     3551.000      4.845470
     3551.100      4.970331
     3551.200      5.106091
     3551.300      5.515752
     3551.400      5.740912
     3551.500      5.296873
     3551.600      4.780033
     3551.700      4.460393
     3551.800      4.575554
     3551.900      5.266914
     3552.000      5.550575
     3552.100      5.128535
     3552.200      4.637197
     3552.300      4.357057
     3552.400      4.319317
     3552.500      4.398578
     3552.600      4.598639
     3552.700      4.759500
     3552.800      4.588360
     3552.900      4.286120
     3553.000      4.290081
     3553.100      4.648041
     3553.200      4.844303
     3553.300      4.690463
     3553.400      4.744224
     3553.500      5.177185
     3553.600      5.736245
     3553.700      6.064406
     3553.800      5.630766
     3553.900      4.848028
     3554.000      4.702088
     3554.100      5.227549
     3554.200      5.413710
     3554.300      5.048470
     3554.400      4.852331
     3554.500      4.826992
     3554.600      4.802853
     3554.700      4.940413
     3554.800      5.327175
     3554.900      6.064736
     3555.000      6.493696
     3555.100      6.016257
     3555.200      5.568519
     3555.300      5.631479
     3555.400      5.777640
     3555.500      5.880201
     3555.600      5.997362
     3555.700      5.745123
     3555.800      5.176684
     3555.900      4.514745
     3556.000      4.157606
     3556.100      4.224567
     3556.200      4.310128
     3556.300      4.389289
     3556.400      4.662450
     3556.500      5.203411
     3556.600      5.530572
     3556.700      5.140333
     3556.800      4.883695
     3556.900      5.326355
     3557.000      6.142217
     3557.100      6.496578
     3557.200      5.616539
     3557.300      4.529800
     3557.400      4.075661
     3557.500      4.170822
     3557.600      4.728384
     3557.700      5.071545
     3557.800      4.791006
     3557.900      4.465767
     3558.000      4.225028
     3558.100      4.102089
     3558.200      4.056651
     3558.300      3.978812
     3558.400      4.147874
     3558.500      4.617135
     3558.600      5.004096
     3558.700      5.319958
     3558.800      5.810918
     3558.900      5.838380
     3559.000      5.452341
     3559.100      5.507603
     3559.200      5.659664
     3559.300      5.874226
     3559.400      5.822687
     3559.500      5.092448
     3559.600      4.511809
     3559.700      4.500371
     3559.800      4.857533
     3559.900      5.188395
     3560.000      5.087356
     3560.100      4.785617
     3560.200      4.369479
     3560.300      3.890340
     3560.400      3.674101
     3560.500      3.686763
     3560.600      3.748924
     3560.700      3.893886
     3560.800      4.098248
     3560.900      4.210809
     3561.000      4.183071
     3561.100      4.017732
     3561.200      3.930394
     3561.300      4.123456
     3561.400      4.358317
     3561.500      4.711479
     3561.600      5.529641
     3561.700      5.820103
     3561.800      5.252464
     3561.900      4.872226
     3562.000      4.897987
     3562.100      5.488649
     3562.200      6.116111
     3562.300      5.942873
     3562.400      5.259134
     3562.500      4.795296
     3562.600      4.591958
     3562.700      4.240720
     3562.800      3.945981
     3562.900      3.908343
     3563.000      4.010205
     3563.100      4.188867
     3563.200      4.355329
     3563.300      4.475791
     3563.400      4.519453
     3563.500      4.342215
     3563.600      4.193476
     3563.700      4.363338
     3563.800      4.559100
     3563.900      4.541762
     3564.000      4.546924
     3564.100      4.675886
     3564.200      4.590648
     3564.300      4.328909
     3564.400      4.314872
     3564.500      4.363934
     3564.600      4.347396
     3564.700      4.581058
     3564.800      5.335820
     3564.900      6.141182
     3565.000      6.158044
     3565.100      5.776106
     3565.200      5.611768
     3565.300      5.204830
     3565.400      4.875093
     3565.500      4.959654
     3565.600      4.652216
     3565.700      4.167979
     3565.800      4.034841
     3565.900      3.948703
     3566.000      3.819865
     3566.100      3.821027
     3566.200      3.815790
     3566.300      3.697752
     3566.400      3.593114
     3566.500      3.603176
     3566.600      3.666638
     3566.700      3.785100
     3566.800      3.974963
     3566.900      4.024525
     3567.000      3.826587
     3567.100      3.672250
     3567.200      3.699612
     3567.300      3.763874
     3567.400      3.769737
     3567.500      4.007499
     3567.600      4.353261
     3567.700      4.287623
     3567.800      4.138586
     3567.900      4.132049
     3568.000      3.923710
     3568.100      3.691973
     3568.200      3.793136
     3568.300      4.007498
     3568.400      4.045861
     3568.500      4.007723
     3568.600      4.066485
     3568.700      4.402848
     3568.800      4.977911
     3568.900      5.152573
     3569.000      4.792336
     3569.100      4.441998
     3569.200      4.292861
     3569.300      4.551623
     3569.400      4.774986
     3569.500      4.357948
     3569.600      3.959211
     3569.700      3.982073
     3569.800      3.975536
     3569.900      3.770199
     3570.000      3.636361
     3570.100      3.693023
     3570.200      3.988487
     3570.300      4.385349
     3570.400      4.693213
     3570.500      5.013374
     3570.600      5.197737
     3570.700      5.093100
     3570.800      4.844162
     3570.900      4.613225
     3571.000      4.284188
     3571.100      3.895451
     3571.200      3.737814
     3571.300      3.810876
     3571.400      4.019639
     3571.500      4.170402
     3571.600      3.837365
     3571.700      3.428548
     3571.800      3.320240
     3571.900      3.250614
     3572.000      3.167756
     3572.100      3.282269
     3572.200      3.428182
     3572.300      3.338595
     3572.400      3.279078
     3572.500      3.434941
     3572.600      3.643793
     3572.700      3.674857
     3572.800      3.523619
     3572.900      3.388333
     3573.000      3.429636
     3573.100      3.639608
     3573.200      3.983371
     3573.300      4.224334
     3573.400      4.375397
     3573.500      4.652361
     3573.600      4.663623
     3573.700      4.498687
     3573.800      4.683949
     3573.900      4.856013
     3574.000      4.681076
     3574.100      4.238139
     3574.200      3.772102
     3574.300      3.517765
